t [s], Presion [kPa], Temperatura[C],Aceleracion en X,Aceleración en Y,Aceleración en Z,Giro en X,Giro en Y,Giro en Z,Altitud,Altitud filtrada,Altitud inicial,Altitud mas alta,Confirmacion del main,Confirmacion del droge,Confirmacion de despegue,Segunda confirmacion del droge,Voltaje
540,78.05,25.42,-1.16,-0.50,11.22,1.29,3.58,0.11,2200.72,2200.72,2200.72,2200.72,0,0,0,0,3.88
640,78.05,25.43,-6.23,0.82,8.45,1.57,3.32,-0.15,2200.55,2200.70,2200.72,2200.72,0,0,0,0,3.92
740,78.05,25.43,-7.15,1.76,6.17,0.32,0.63,-0.35,2200.55,2200.68,2200.72,2200.72,0,0,0,0,3.89
840,78.05,25.43,-3.37,-0.81,4.34,0.52,-0.94,0.31,2200.55,2200.66,2200.72,2200.72,0,0,0,0,3.91
940,78.05,25.43,-6.43,0.66,9.08,0.39,2.54,-0.20,2200.55,2200.64,2200.72,2200.72,0,0,0,0,3.92
1040,78.05,25.43,-10.46,0.73,6.81,0.06,4.37,-1.05,2200.55,2200.62,2200.72,2200.72,0,0,0,0,3.93
1140,78.05,25.42,-8.05,-1.11,-3.26,-1.37,4.37,-0.88,2200.56,2200.60,2200.72,2200.72,0,0,0,0,3.91
1240,78.05,25.42,-7.50,1.43,-7.69,-0.90,1.99,-0.46,2200.56,2200.57,2200.72,2200.72,0,0,0,0,3.92
1340,78.05,25.42,-6.68,0.91,-7.05,-0.42,1.09,-0.34,2200.56,2200.55,2200.72,2200.72,0,0,0,0,3.91
1440,78.05,25.42,-5.37,-0.63,-5.85,-0.43,0.82,-0.42,2200.56,2200.55,2200.72,2200.72,0,0,0,0,3.91
1540,78.05,25.42,-4.79,-0.15,-6.10,-0.79,0.23,-0.19,2200.56,2200.56,2200.72,2200.72,0,0,0,0,3.91
1640,78.05,25.40,-7.06,0.13,-6.14,-0.40,0.38,0.37,2200.57,2200.56,2200.72,2200.72,0,0,0,0,3.92
1740,78.05,25.40,-7.21,1.79,-8.60,-0.34,0.10,-0.03,2200.57,2200.56,2200.72,2200.72,0,0,0,0,3.93
1840,78.05,25.40,-6.43,2.64,-9.51,-0.20,-0.65,0.13,2200.57,2200.56,2200.72,2200.72,0,0,0,0,3.90
1940,78.05,25.40,-5.51,1.15,-7.79,0.36,-0.26,0.54,2200.57,2200.56,2200.72,2200.72,0,0,0,0,3.94
2040,78.05,25.40,-4.82,1.30,-6.05,1.07,0.21,0.78,2200.57,2200.57,2200.72,2200.72,0,0,0,0,3.93
2140,78.05,25.39,-6.10,0.40,-4.84,0.32,-0.92,0.10,2200.59,2200.57,2200.72,2200.72,0,0,0,0,3.92
2240,78.05,25.39,-6.26,-0.72,-4.39,0.63,-0.05,0.23,2200.59,2200.57,2200.72,2200.72,0,0,0,0,3.95
2340,78.05,25.39,-7.62,1.17,-5.26,-0.69,-0.28,0.90,2200.59,2200.58,2200.72,2200.72,0,0,0,0,3.92
